year,label,page,lineup,days,entries,alts
2017,SK,SK Gaming,FalleN|TACO|coldzera|felps|fer,267,98,2
2017,Virtus.pro,Virtus.pro,NEO|Snax|TaZ|byali|pashaBiceps,365,102,1
2017,fnatic,Fnatic,JW|KRIMZ|dennis|flusha|olofmeister,196,128,3
2018,AGO,AGO esports,Furlan|GruBy|TOAO|phr|snatchie,214,58,3
2018,Astralis,Astralis,Magisk|Xyp9x|dev1ce|dupreeh|gla1ve,328,65,2
2018,BIG,BIG,gob b|nex|smooya|tabseN|tiziaN,246,73,3
2018,Cloud9,Cloud9,RUSH|Skadoodle|Stewie2K|autimatic|tarik,89,79,5
2018,ENCE,ENCE,Aerial|Aleksib|allu|sergej|xseveN,272,92,1
2018,FaZe,FaZe Clan,GuardiaN|NiKo|karrigan|olofmeister|rain,259,57,1
2018,G2,G2 Esports,Ex6TenZ|SmithZz|bodyy|kennyS|shox,174,84,3
2018,GODSENT,GODSENT,Brollan|disco doplan|freddieb|hampus|twist,38,71,1
2018,Gambit,Gambit Esports,AdreN|Dosia|Hobbit|mir|mou,125,37,4
2018,HEROIC,HEROIC,AcilioN|MODDII|es3tag|friberg|mertz,94,93,4
2018,HellRaisers,HellRaisers,ANGE1|DeadFox|ISSAA|bondik|woxic,294,68,2
2018,Liquid,Team Liquid,EliGE|NAF|TACO|Twistzz|nitr0,258,69,4
2018,MIBR,MIBR,FalleN|Stewie2K|coldzera|fer|tarik,159,74,3
2018,MOUZ,MOUZ,STYKO|chrisJ|oskar|ropz|suNny,254,148,1
2018,NRG,NRG,Brehze|CeRq|Ethan|FugLy|daps,350,59,2
2018,Natus Vincere,Natus Vincere,Edward|Zeus|electroNic|flamie|s1mple,365,61,1
2018,Ninjas in Pyjamas,Ninjas in Pyjamas,GeT_RiGhT|Lekr0|REZ|dennis|f0rest,197,126,3
2018,North,North,Kjaerbye|MSL|aizy|mertz|valde,158,33,4
2018,OpTic,OpTic Gaming,JUGi|Snappi|cajunb|gade|k0nfig,156,33,4
2018,Renegades,Renegades,AZR|Nifty|USTILO|jkaem|jks,233,37,3
2018,Space Soldiers,Space Soldiers,Calyx|MAJ3R|XANTARES|ngiN|paz,1,10,1
2018,TYLOO,TYLOO,BnTeT|DD|captainMo|somebody|xccurate,306,73,2
2018,Virtus.pro,Virtus.pro,MICHU|NEO|Snax|byali|pashaBiceps,139,102,6
2018,fnatic,Fnatic,Golden|JW|KRIMZ|Lekr0|flusha,144,128,6
2019,AVANGAR,AVANGAR,AdreN|Jame|SANJI|buster|qikert,175,43,3
2019,Astralis,Astralis,Magisk|Xyp9x|dev1ce|dupreeh|gla1ve,365,65,1
2019,CR4ZY,CR4ZY,EspiranTo|LETN1|huNter-|nexa|ottoNd,273,29,2
2019,ENCE,ENCE,Aerial|Aleksib|allu|sergej|xseveN,234,92,2
2019,Evil Geniuses,Evil Geniuses,Brehze|CeRq|Ethan|stanislaw|tarik,97,95,1
2019,FORZE,FORZE Esports,FL1T|Jerry|almazer|facecrack|xsepower,365,90,1
2019,FURIA,FURIA,KSCERATO|VINI|ableJ|arT|yuurih,265,43,2
2019,FaZe,FaZe Clan,AdreN|GuardiaN|NiKo|olofmeister|rain,127,57,3
2019,G2,G2 Esports,AMANEK|JACKZ|Lucky|kennyS|shox,203,84,3
2019,HEROIC,HEROIC,NaToSaphiX|blameF|es3tag|friberg|stavn,102,93,7
2019,Liquid,Team Liquid,EliGE|NAF|Stewie2K|Twistzz|nitr0,365,69,1
2019,MIBR,MIBR,FalleN|TACO|coldzera|felps|fer,163,74,5
2019,MOUZ,MOUZ,chrisJ|frozen|karrigan|ropz|woxic,292,148,2
2019,Natus Vincere,Natus Vincere,Edward|Zeus|electroNic|flamie|s1mple,148,61,3
2019,Ninjas in Pyjamas,Ninjas in Pyjamas,GeT_RiGhT|Lekr0|REZ|dennis|f0rest,138,126,3
2019,OpTic,OpTic Gaming,JUGi|Snappi|cajunb|k0nfig|refrezh,86,33,4
2019,Renegades,Renegades,AZR|Gratisfaction|Liazz|jkaem|jks,304,37,2
2019,Tricked,Tricked Esport,Bubzkji|HUNDEN|acoR|b0RUP|sjuush,127,82,4
2019,Valiance,CR4ZY,EspiranTo|LETN1|huNter-|nexa|ottoNd,273,29,2
2019,Vitality,Team Vitality,ALEX|NBK-|RpK|ZywOo|apEX,250,36,2
2019,fnatic,Fnatic,Brollan|JW|KRIMZ|Xizt|twist,233,128,2
2020,Astralis,Astralis,Magisk|Xyp9x|dev1ce|dupreeh|gla1ve,131,65,1
2020,BIG,BIG,XANTARES|k1to|syrsoN|tabseN|tiziaN,365,73,1
2020,Complexity,Complexity,RUSH|blameF|k0nfig|oBo|poizon,266,117,2
2020,Evil Geniuses,Evil Geniuses,Brehze|CeRq|Ethan|stanislaw|tarik,366,95,1
2020,FURIA,FURIA,HEN1|KSCERATO|VINI|arT|yuurih,366,43,1
2020,FaZe,FaZe Clan,NiKo|broky|coldzera|olofmeister|rain,145,57,2
2020,G2,G2 Esports,AMANEK|JACKZ|huNter-|kennyS|nexa,301,84,1
2020,GODSENT,GODSENT,STYKO|farlig|kRYSTAL|maden|zehN,177,71,2
2020,Gen.G,Gen.G Esports,BnTeT|autimatic|daps|koosta|s0m,255,23,1
2020,HEROIC,HEROIC,TeSeS|b0RUP|cadiaN|niko|stavn,256,93,2
2020,Liquid,Team Liquid,EliGE|NAF|Stewie2K|Twistzz|nitr0,214,69,2
2020,MOUZ,MOUZ,chrisJ|frozen|karrigan|ropz|woxic,222,148,2
2020,Natus Vincere,Natus Vincere,Boombl4|Perfecto|electroNic|flamie|s1mple,330,61,2
2020,Ninjas in Pyjamas,Ninjas in Pyjamas,Plopski|REZ|hampus|nawwk|twist,226,126,3
2020,OG,OG,Aleksib|ISSAA|NBK-|mantuu|valde,366,43,1
2020,Spirit,Team Spirit,chopper|iDISBALANCE|magixx|mir|sdy,366,39,1
2020,Vitality,Team Vitality,RpK|ZywOo|apEX|misutaaa|shox,225,36,2
2020,fnatic,Fnatic,Brollan|Golden|JW|KRIMZ|flusha,365,128,1
2021,Astralis,Astralis,Bubzkji|Magisk|Xyp9x|dupreeh|gla1ve,99,65,1
2021,BIG,BIG,XANTARES|k1to|syrsoN|tabseN|tiziaN,211,73,3
2021,Copenhagen Flames,Copenhagen Flames,HooXi|Jabbi|Zyphon|nicoodoz|roeJ,227,52,3
2021,ENCE,ENCE,Snappi|Spinx|doto|dycha|hades,198,92,2
2021,Entropiq,Entropiq,El1an|Forester|Krad|Lack1|NickelBack,235,47,3
2021,Evil Geniuses,Evil Geniuses,Brehze|CeRq|MICHU|oBo|stanislaw,200,95,3
2021,FORZE,FORZE Esports,FL1T|Jerry|KENSi|almazer|zorte,249,90,3
2021,FURIA,FURIA,KSCERATO|VINI|arT|drop|yuurih,94,43,4
2021,FaZe,FaZe Clan,Twistzz|broky|karrigan|olofmeister|rain,213,57,3
2021,G2,G2 Esports,AMANEK|JACKZ|NiKo|huNter-|nexa,302,84,1
2021,Gambit,Gambit Esports,Ax1Le|HObbit|interz|nafany|sh1ro,365,37,1
2021,HEROIC,HEROIC,TeSeS|cadiaN|refrezh|sjuush|stavn,308,93,2
2021,Liquid,Team Liquid,EliGE|FalleN|Grim|NAF|Stewie2K,347,69,1
2021,MOUZ,MOUZ,Bymas|acoR|dexter|frozen|ropz,317,148,3
2021,Natus Vincere,Natus Vincere,Boombl4|Perfecto|b1t|electroNic|s1mple,264,61,1
2021,Ninjas in Pyjamas,Ninjas in Pyjamas,LNZ|Plopski|REZ|dev1ce|hampus,168,126,6
2021,OG,OG,Aleksib|flameZ|mantuu|niko|valde,267,43,2
2021,Spirit,Team Spirit,chopper|degster|magixx|mir|sdy,221,39,2
2021,Virtus.pro,Virtus.pro,Jame|Qikert|SANJI|YEKINDAR|buster,294,102,2
2021,Vitality,Team Vitality,Kyojin|ZywOo|apEX|misutaaa|shox,251,36,2
2021,fnatic,Fnatic,Brollan|Golden|JW|Jackinho|KRIMZ,100,128,5
2022,Astralis,Astralis,Xyp9x|blameF|farlig|gla1ve|k0nfig,230,65,4
2022,BIG,BIG,Krimbo|faveN|k1to|syrsoN|tabseN,144,73,3
2022,Cloud9,Cloud9,Ax1Le|HObbit|interz|nafany|sh1ro,252,79,1
2022,Copenhagen Flames,Copenhagen Flames,HooXi|Jabbi|Zyphon|nicoodoz|roeJ,152,52,2
2022,ENCE,ENCE,Snappi|Spinx|dycha|hades|maden,197,92,3
2022,Entropiq,Entropiq,El1an|Forester|Krad|Lack1|NickelBack,158,47,2
2022,FORZE,FORZE Esports,Jerry|KENSi|Norwi|shalfey|zorte,289,90,1
2022,FURIA,FURIA,KSCERATO|arT|drop|saffee|yuurih,360,43,1
2022,FaZe,FaZe Clan,Twistzz|broky|karrigan|rain|ropz,362,57,2
2022,G2,G2 Esports,Aleksib|JACKZ|NiKo|huNter-|m0NESY,199,84,3
2022,Gambit,Gambit Esports,Ax1Le|HObbit|interz|nafany|sh1ro,114,37,1
2022,Liquid,Team Liquid,EliGE|NAF|nitr0|oSee|shox,156,69,2
2022,MOUZ,MOUZ,Bymas|JDC|dexter|frozen|torzsi,160,148,4
2022,Movistar Riders,Movistar Riders,DeathZz|SunPayus|alex|dav1g|mopoz,223,57,3
2022,Natus Vincere,Natus Vincere,Perfecto|b1t|electroNic|s1mple|sdy,210,61,3
2022,OG,OG,F1KU|NEOFRAG|degster|flameZ|nexa,169,43,4
2022,Outsiders,Outsiders,FL1T|Jame|Qikert|fame|n0rb3r7,215,9,2
2022,Spirit,Team Spirit,Patsi|chopper|magixx|s1ren|w0nderful,194,39,2
2022,Vitality,Team Vitality,Magisk|ZywOo|apEX|dupreeh|misutaaa,216,36,2
2022,fnatic,Fnatic,FASHR|KRIMZ|mezii|nicoodoz|roeJ,149,128,4
2023,9INE,9INE,Goofy|KEi|Kylar|hades|mynio,313,75,1
2023,Apeks,Apeks,STYKO|jL|jkaem|kyxsan|nawwk,181,89,3
2023,Astralis,Astralis,Buzz|Staehr|b0RUP|blameF|dev1ce,154,65,3
2023,BIG,BIG,Krimbo|mantuu|prosus|s1n|tabseN,193,73,3
2023,Cloud9,Cloud9,Ax1Le|HObbit|buster|nafany|sh1ro,177,79,4
2023,ENCE,ENCE,NertZ|Snappi|SunPayus|dycha|maden,284,92,4
2023,FURIA,FURIA,FalleN|KSCERATO|arT|chelo|yuurih,182,43,2
2023,FaZe,FaZe Clan,Twistzz|broky|karrigan|rain|ropz,335,57,2
2023,G2,G2 Esports,HooXi|NiKo|huNter-|jks|m0NESY,324,84,2
2023,GamerLegion,GamerLegion,Keoz|acoR|iM|isak|siuhy,181,53,3
