year,team,days,lineup,igl,awp,worst_conf,status
2017,fnatic,196,JW|KRIMZ|dennis|flusha|olofmeister,dennis,JW,medium,ok
2018,AGO,214,Furlan|GruBy|TOAO|phr|snatchie,GruBy,snatchie,medium,ok
2018,Astralis,328,Magisk|Xyp9x|dev1ce|dupreeh|gla1ve,gla1ve,dev1ce,high,ok
2018,BIG,246,gob b|nex|smooya|tabseN|tiziaN,gob b,smooya,high,ok
2018,Cloud9,89,RUSH|Skadoodle|Stewie2K|autimatic|tarik,Stewie2K,Skadoodle,high,ok
2018,ENCE,272,Aerial|Aleksib|allu|sergej|xseveN,Aleksib,allu,high,ok
2018,FaZe,259,GuardiaN|NiKo|karrigan|olofmeister|rain,karrigan,GuardiaN,high,ok
2018,G2,174,Ex6TenZ|SmithZz|bodyy|kennyS|shox,Ex6TenZ,SmithZz|kennyS,high,ok
2018,GODSENT,38,Brollan|disco doplan|freddieb|hampus|twist,hampus,freddieb,medium,ok
2018,Gambit,125,AdreN|Dosia|Hobbit|mir|mou,AdreN,,medium,NO_AWP
2018,HEROIC,94,AcilioN|MODDII|es3tag|friberg|mertz,AcilioN,mertz,medium,ok
2018,HellRaisers,294,ANGE1|DeadFox|ISSAA|bondik|woxic,ANGE1,DeadFox|woxic,low,ok
2018,Liquid,258,EliGE|NAF|TACO|Twistzz|nitr0,nitr0,,high,NO_AWP
2018,MIBR,159,FalleN|Stewie2K|coldzera|fer|tarik,FalleN,FalleN|coldzera,low,ok
2018,MOUZ,254,STYKO|chrisJ|oskar|ropz|suNny,chrisJ,chrisJ|oskar,medium,ok
2018,NRG,350,Brehze|CeRq|Ethan|FugLy|daps,daps,CeRq,high,ok
2018,Natus Vincere,365,Edward|Zeus|electroNic|flamie|s1mple,Zeus,s1mple,high,ok
2018,Ninjas in Pyjamas,197,GeT_RiGhT|Lekr0|REZ|dennis|f0rest,Lekr0,,medium,NO_AWP
2018,North,158,Kjaerbye|MSL|aizy|mertz|valde,MSL,mertz,medium,ok
2018,OpTic,156,JUGi|Snappi|cajunb|gade|k0nfig,Snappi,JUGi,high,ok
